,date,confirmados
274,16-10-2020,6592
275,17-10-2020,3257
276,18-10-2020,2246
277,19-10-2020,8152
278,20-10-2020,8345
279,21-10-2020,7367
280,22-10-2020,7220
281,23-10-2020,7210
282,24-10-2020,3437
283,25-10-2020,2407
284,26-10-2020,8241
285,27-10-2020,7952
286,28-10-2020,7151
287,29-10-2020,6824
288,30-10-2020,6280
289,31-10-2020,2923
290,01-11-2020,2077
291,02-11-2020,5052
292,03-11-2020,8022
293,04-11-2020,7494
294,05-11-2020,7408
295,06-11-2020,6990
296,07-11-2020,3434
297,08-11-2020,2508
298,09-11-2020,8542
299,10-11-2020,8567
300,11-11-2020,8276
301,12-11-2020,8147
302,13-11-2020,7535
303,14-11-2020,3820
304,15-11-2020,2569
305,16-11-2020,3118
306,17-11-2020,9493
307,18-11-2020,8705
308,19-11-2020,8235
309,20-11-2020,8283
310,21-11-2020,4142
311,22-11-2020,2671
312,23-11-2020,10145
313,24-11-2020,10252
314,25-11-2020,9442
315,26-11-2020,9532
316,27-11-2020,9425
317,28-11-2020,4757
318,29-11-2020,2886
319,30-11-2020,10728
320,01-12-2020,11314
321,02-12-2020,11267
322,03-12-2020,10937
323,04-12-2020,10751
324,05-12-2020,5779
325,06-12-2020,3028
326,07-12-2020,12668
327,08-12-2020,12777
328,09-12-2020,12224
329,10-12-2020,12253
330,11-12-2020,12212
331,12-12-2020,6576
332,13-12-2020,3231
333,14-12-2020,13864
334,15-12-2020,13780
335,16-12-2020,12890
336,17-12-2020,12564
337,18-12-2020,12212
338,19-12-2020,6403
339,20-12-2020,3616
340,21-12-2020,13939
341,22-12-2020,13642
342,23-12-2020,12316
343,24-12-2020,10217
344,25-12-2020,2484
345,26-12-2020,5613
346,27-12-2020,4145
347,28-12-2020,15158
348,29-12-2020,15335
349,30-12-2020,14190
350,31-12-2020,11794
351,01-01-2021,3115
352,02-01-2021,6435
353,03-01-2021,4877
354,04-01-2021,17153
355,05-01-2021,18359
356,06-01-2021,17844
357,07-01-2021,18238
358,08-01-2021,17865
359,09-01-2021,9296
360,10-01-2021,5193
361,11-01-2021,19960
362,12-01-2021,18999
363,13-01-2021,17328
364,14-01-2021,17776
365,15-01-2021,16809
366,16-01-2021,8916
367,17-01-2021,4825
368,18-01-2021,18397
369,19-01-2021,18214
370,20-01-2021,17053
371,21-01-2021,16583
372,22-01-2021,16150
373,23-01-2021,7943
374,24-01-2021,4391
375,25-01-2021,17198
376,26-01-2021,16625
377,27-01-2021,14350
378,28-01-2021,13464
379,29-01-2021,11895
380,30-01-2021,6084
381,31-01-2021,3358
382,01-02-2021,3849
383,02-02-2021,12525
384,03-02-2021,11274
385,04-02-2021,10256
386,05-02-2021,9455
387,06-02-2021,4396
388,07-02-2021,2224
389,08-02-2021,9886
390,09-02-2021,7998
391,10-02-2021,7027
392,11-02-2021,5446
393,12-02-2021,3817
394,13-02-2021,25
