cve_ent,cve_ent,cve_ent
44,44,47
45,45,27
46,46,21
47,47,2
48,48,9
49,49,36
51,51,2
510,510,138
511,511,5
512,512,2
514,514,6
516,516,5
517,517,112
518,518,605
519,519,16
52,52,282
520,520,141
521,521,17
522,522,38
523,523,4
524,524,34
525,525,289
526,526,3
527,527,68
528,528,137
529,529,7
53,53,38
530,530,1427
531,531,33
532,532,117
533,533,145
534,534,6
535,535,1235
536,536,14
537,537,5
538,538,15
54,54,22
55,55,1
56,56,44
57,57,15
58,58,4
59,59,99
61,61,23
610,610,184
62,62,270
63,63,27
64,64,23
65,65,54
66,66,14
67,67,265
68,68,8
69,69,138
6999,6999,1
71,71,2
7100,7100,1
7101,7101,596
7102,7102,5
7103,7103,4
7105,7105,3
7106,7106,25
7107,7107,6
7108,7108,11
7109,7109,3
7110,7110,1
7114,7114,7
7116,7116,1
712,712,11
713,713,4
715,715,9
716,716,5
717,717,20
719,719,20
72,72,4
720,720,4
721,721,3
723,723,1
725,725,1
727,727,45
728,728,4
73,73,4
730,730,2
732,732,2
734,734,6
735,735,3
737,737,12
74,74,4
740,740,29
743,743,1
745,745,4
746,746,10
747,747,3
748,748,5
750,750,1
751,751,6
752,752,5
753,753,1
754,754,6
755,755,4
757,757,17
759,759,18
761,761,31
762,762,1
763,763,2
765,765,14
768,768,3
769,769,8
770,770,1
771,771,2
772,772,1
774,774,28
775,775,4
777,777,2
778,778,32
779,779,3
78,78,2
780,780,1
783,783,2
785,785,1
786,786,11
787,787,8
789,789,247
79,79,15
791,791,4
792,792,7
796,796,2
797,797,41
799,799,4
81,81,8
810,810,12
811,811,77
812,812,6
813,813,7
814,814,4
815,815,6
817,817,165
818,818,3
819,819,1360
82,82,14
821,821,290
822,822,2
823,823,2
824,824,3
825,825,8
826,826,3
827,827,16
828,828,5
829,829,5
83,83,9
830,830,5
831,831,21
832,832,211
833,833,1
834,834,1
835,835,5
836,836,57
837,837,2444
838,838,12
839,839,9
84,84,5
840,840,16
841,841,1
842,842,4
843,843,1
844,844,2
845,845,78
846,846,2
847,847,2
848,848,11
849,849,2
85,85,16
850,850,66
851,851,5
852,852,20
853,853,3
854,854,3
855,855,29
856,856,1
858,858,5
859,859,10
86,86,5
860,860,10
862,862,59
863,863,10
864,864,1
865,865,2
866,866,1
867,867,7
87,87,4
88,88,1
89,89,15
910,910,2071
911,911,640
912,912,1278
913,913,823
914,914,1021
915,915,1759
916,916,1016
917,917,1430
92,92,1856
93,93,1830
94,94,336
95,95,3884
96,96,1607
97,97,4633
98,98,417
99,99,242
9999,9999,1
