cve_ent,cve_ent,cve_ent
1528,1528,20
1529,1529,189
153,153,13
1530,1530,24
1531,1531,679
1532,1532,10
1533,1533,3605
1534,1534,2
1535,1535,86
1536,1536,31
1537,1537,245
1538,1538,4
1539,1539,521
154,154,4
1540,1540,11
1541,1541,1
1542,1542,99
1543,1543,15
1544,1544,49
1545,1545,28
1546,1546,25
1547,1547,22
1548,1548,23
1549,1549,13
155,155,91
1550,1550,10
1551,1551,200
1552,1552,17
1553,1553,64
1554,1554,428
1555,1555,26
1556,1556,10
1557,1557,1824
1558,1558,2491
1559,1559,39
156,156,19
1560,1560,506
1561,1561,7
1562,1562,89
1563,1563,18
1564,1564,18
1565,1565,31
1566,1566,2
1567,1567,53
1568,1568,13
1569,1569,5
157,157,10
1570,1570,411
1571,1571,3
1572,1572,13
1573,1573,39
1574,1574,41
1575,1575,26
1576,1576,138
1577,1577,1
1578,1578,2
1579,1579,12
158,158,11
1580,1580,2
1581,1581,624
1582,1582,57
1583,1583,7
1584,1584,35
1585,1585,21
1586,1586,13
1587,1587,46
1588,1588,62
1589,1589,4
159,159,32
1590,1590,89
1591,1591,108
1592,1592,84
1593,1593,20
1594,1594,9
1595,1595,80
1596,1596,38
1597,1597,2
1598,1598,1
1599,1599,426
16,16,51
161,161,4
1610,1610,11
16100,16100,18
16101,16101,3
16102,16102,360
16103,16103,7
16104,16104,12
16105,16105,16
16106,16106,24
16107,16107,105
16108,16108,195
16109,16109,3
1611,1611,10
16110,16110,38
16111,16111,6
16112,16112,150
16113,16113,19
1612,1612,14
1613,1613,7
1614,1614,5
1615,1615,11
1616,1616,18
1617,1617,7
1618,1618,9
1619,1619,7
162,162,5
1620,1620,23
1621,1621,7
1622,1622,25
1623,1623,3
1624,1624,15
1625,1625,18
1627,1627,1
1628,1628,5
1629,1629,5
163,163,13
1630,1630,13
1631,1631,2
1632,1632,16
1633,1633,17
1634,1634,55
1635,1635,26
1636,1636,9
1637,1637,4
1638,1638,53
1639,1639,2
164,164,3
1640,1640,8
1641,1641,7
1642,1642,3
1643,1643,45
1644,1644,20
1645,1645,15
1646,1646,12
1647,1647,5
1648,1648,8
1649,1649,3
165,165,6
1650,1650,49
1651,1651,3
1652,1652,344
1653,1653,1139
1654,1654,3
1655,1655,61
1656,1656,18
1657,1657,4
1658,1658,9
1659,1659,8
166,166,112
1660,1660,16
1661,1661,2
1662,1662,6
1663,1663,17
1664,1664,14
1665,1665,51
1666,1666,89
1667,1667,25
1668,1668,14
1669,1669,140
167,167,3
1670,1670,6
1671,1671,51
1672,1672,5
1673,1673,15
1674,1674,1
1675,1675,64
1676,1676,33
1677,1677,7
1678,1678,4
1679,1679,21
168,168,7
1680,1680,5
1681,1681,2
1682,1682,50
1683,1683,6
1684,1684,17
1685,1685,13
1686,1686,5
1687,1687,14
1688,1688,64
1689,1689,13
169,169,28
1690,1690,7
1691,1691,5
1692,1692,9
1693,1693,5
1694,1694,5
1695,1695,8
1696,1696,1
1697,1697,24
1698,1698,11
1699,1699,17
17,17,38
171,171,14
1710,1710,13
1711,1711,209
1712,1712,78
1713,1713,25
1714,1714,3
1715,1715,14
1716,1716,19
1717,1717,88
1718,1718,97
1719,1719,37
172,172,11
1720,1720,18
1721,1721,3
1722,1722,12
1723,1723,7
1724,1724,68
1725,1725,38
1726,1726,27
1727,1727,10
1728,1728,60
1729,1729,88
173,173,46
1730,1730,35
1731,1731,82
1732,1732,5
1733,1733,11
1734,1734,2
1735,1735,1
174,174,84
175,175,9
176,176,246
177,177,527
178,178,71
179,179,16
18,18,5
181,181,52
1810,1810,54
1811,1811,27
1812,1812,47
1813,1813,7
1814,1814,36
1815,1815,164
1816,1816,71
1817,1817,642
1818,1818,69
1819,1819,3
182,182,26
1820,1820,100
183,183,17
184,184,75
185,185,10
186,186,44
187,187,47
188,188,57
189,189,11
19,19,8
191,191,3
1910,1910,25
1911,1911,11
1912,1912,31
1913,1913,3
1914,1914,21
1915,1915,1
1916,1916,4
1917,1917,38
1918,1918,97
1919,1919,100
192,192,6
1920,1920,4
1921,1921,423
1922,1922,14
1923,1923,2
1924,1924,2
1925,1925,28
1926,1926,1370
1927,1927,1
1928,1928,1
1929,1929,3
1931,1931,150
1932,1932,5
1933,1933,86
1934,1934,3
1935,1935,3
1936,1936,1
1937,1937,6
1938,1938,68
1939,1939,2738
194,194,32
1940,1940,1
1941,1941,55
1942,1942,2
1943,1943,1
1944,1944,48
1945,1945,36
1946,1946,935
1947,1947,35
1948,1948,375
1949,1949,33
195,195,6
1951,1951,14
196,196,628
197,197,4
198,198,1
199,199,107
201,201,5
2010,2010,11
20102,20102,3
20103,20103,12
20107,20107,32
20110,20110,1
20112,20112,2
20115,20115,6
2012,2012,2
20123,20123,1
20124,20124,5
20125,20125,1
20129,20129,1
20131,20131,2
20134,20134,2
20135,20135,2
20139,20139,1
2014,2014,16
20140,20140,1
20141,20141,2
20143,20143,2
20144,20144,1
20145,20145,2
2015,2015,1
20150,20150,7
20153,20153,1
20156,20156,3
20157,20157,19
20160,20160,3
20161,20161,2
20163,20163,1
20164,20164,2
20166,20166,1
20171,20171,1
20174,20174,3
20175,20175,3
20176,20176,1
20177,20177,2
20178,20178,2
20180,20180,1
20184,20184,160
20187,20187,1
20188,20188,1
2019,2019,2
20190,20190,3
20192,20192,3
20193,20193,1
20197,20197,2
20198,20198,2
202,202,9
2020,2020,1
20206,20206,1
20207,20207,1
20208,20208,1
2021,2021,4
20216,20216,2
20222,20222,1
20224,20224,1
20226,20226,1
20227,20227,11
2023,2023,12
20232,20232,9
2024,2024,3
20241,20241,1
20242,20242,1
20244,20244,1
20247,20247,2
20248,20248,1
2025,2025,3
20255,20255,1
20259,20259,1
2026,2026,1
20261,20261,1
20263,20263,1
20265,20265,3
20270,20270,1
20277,20277,3
20278,20278,1
2028,2028,8
20283,20283,1
20285,20285,1
20286,20286,4
20287,20287,1
20292,20292,3
20293,20293,12
20294,20294,13
20295,20295,5
20298,20298,5
20299,20299,1
2030,2030,8
20300,20300,2
20301,20301,3
20305,20305,1
20307,20307,10
20308,20308,1
20309,20309,2
2031,2031,4
20310,20310,5
20311,20311,1
20312,20312,1
20315,20315,1
20318,20318,23
20324,20324,18
20325,20325,1
20327,20327,4
2033,2033,7
20333,20333,2
20334,20334,18
20337,20337,3
20338,20338,15
20339,20339,5
20340,20340,2
20342,20342,1
20348,20348,1
20350,20350,15
20356,20356,1
20358,20358,1
20360,20360,2
20363,20363,1
20364,20364,4
20365,20365,1
2037,2037,1
20375,20375,12
20379,20379,1
2038,2038,1
20380,20380,1
20381,20381,4
20383,20383,1
20385,20385,95
20389,20389,1
2039,2039,58
20390,20390,64
20393,20393,2
20394,20394,1
20397,20397,21
20398,20398,2
20399,20399,32
2040,2040,1
20400,20400,1
20401,20401,2
20402,20402,1
20403,20403,5
20406,20406,1
20409,20409,16
2041,2041,5
20410,20410,1
20412,20412,1
20413,20413,22
20414,20414,2
20415,20415,2
20417,20417,2
20418,20418,3
2042,2042,3
20421,20421,5
20426,20426,2
20427,20427,2
2043,2043,60
20431,20431,1
20437,20437,1
20439,20439,4
2044,2044,11
20447,20447,4
20449,20449,1
2045,2045,10
20453,20453,2
20457,20457,2
20459,20459,1
2046,2046,1
20461,20461,1
20462,20462,7
20463,20463,1
20465,20465,1
20467,20467,12
20468,20468,1
20469,20469,10
20472,20472,2
20475,20475,2
20482,20482,28
20483,20483,7
20484,20484,1
20485,20485,1
20497,20497,4
20499,20499,1
205,205,5
